Date,total_pnl,total_volume_usd,classification,sentiment_score
01-05-2023,0,477,greed,1
05-12-2023,0,50005.83,extreme greed,2
14-12-2023,-205.434737,113203.35,greed,1
15-12-2023,-24.632034,10609.95,greed,1
16-12-2023,0,15348.77,greed,1
17-12-2023,304.982785,116278.02,greed,1
18-12-2023,0,31164.18,greed,1
19-12-2023,1000.538612,91602.41,greed,1
20-12-2023,162.732282,141636.79,greed,1
21-12-2023,537.211402,125233.97,greed,1
22-12-2023,141.832675,88874.28,greed,1
23-12-2023,146.936704,78438.25,greed,1
24-12-2023,1008.619956,402954.94,greed,1
25-12-2023,-245.081348,59948.51,greed,1
27-12-2023,-704.889227,171411.06,greed,1
28-12-2023,-970.730876,100117.25,greed,1
29-12-2023,508.922143,569559.72,greed,1
30-12-2023,354.998648,702550.21,greed,1
01-01-2024,-129.53146,264239.53,greed,1
02-01-2024,783.979116,121348.74,greed,1
03-01-2024,866.015507,394499.36,greed,1
04-01-2024,-67.60364,99792.54,greed,1
05-01-2024,164.141565,1703942.66,greed,1
06-01-2024,135.581664,298521.4,greed,1
07-01-2024,-835.681235,1048850.06,greed,1
08-01-2024,-269.874439,1522452.43,greed,1
09-01-2024,-826.349863,870051.97,extreme greed,2
10-01-2024,-1517.091342,2057479.48,greed,1
11-01-2024,-164.089501,305314.1,extreme greed,2
12-01-2024,-1925.519024,200082.27,greed,1
15-01-2024,152.85358,50636.1,neutral,
16-01-2024,-2299.171458,116427.33,greed,1
17-01-2024,813.274111,800831.03,greed,1
18-01-2024,68.93319,424631.53,greed,1
19-01-2024,-385.419235,428428.97,neutral,
20-01-2024,-146.57487,1070090.51,neutral,
21-01-2024,266.581146,103129.74,greed,1
22-01-2024,1375.640959,337878.99,greed,1
23-01-2024,-369.24473,414518.93,neutral,
24-01-2024,-2808.353815,965084.59,neutral,
25-01-2024,-3093.629385,66566.13,neutral,
26-01-2024,90.2,11773.21,neutral,
28-01-2024,-2478.06972,18109.03,neutral,
29-01-2024,486.562542,414208.18,greed,1
30-01-2024,-173.654191,401011.38,greed,1
31-01-2024,-799.840817,6305647.13,greed,1
01-02-2024,0,2008.18,greed,1
02-02-2024,456.423473,474278.43,greed,1
03-02-2024,223.309187,603820,greed,1
04-02-2024,47.623895,203187.53,greed,1
05-02-2024,-33.454194,770198.26,greed,1
06-02-2024,-215.615907,8047153.41,greed,1
07-02-2024,241.24212,6758.73,greed,1
08-02-2024,770.756024,26051.12,greed,1
11-02-2024,983.443176,212311.82,greed,1
12-02-2024,913.881787,227247.7,greed,1
13-02-2024,559.44389,1999.99,extreme greed,2
14-02-2024,3830.599833,320839.88,greed,1
15-02-2024,1840.797677,185188.04,greed,1
16-02-2024,5491.768834,564896.51,greed,1
17-02-2024,1929.6418,406118.07,extreme greed,2
18-02-2024,477.62483,157048.17,greed,1
19-02-2024,4317.768563,286377.2,extreme greed,2
20-02-2024,3263.628824,119419.72,greed,1
21-02-2024,1858.79857,108047.52,extreme greed,2
22-02-2024,3894.10507,373033.87,greed,1
23-02-2024,1418.55293,111106.14,extreme greed,2
25-02-2024,-30.7705,4480.13,greed,1
26-02-2024,4416.8473,192187.14,greed,1
27-02-2024,888.511733,209362.3,extreme greed,2
28-02-2024,2503.747235,171107.13,extreme greed,2
29-02-2024,9813.996992,395666.73,extreme greed,2
01-03-2024,8244.241409,472974.7,extreme greed,2
02-03-2024,230.9006,63197.56,extreme greed,2
03-03-2024,8361.086245,390745.68,extreme greed,2
04-03-2024,27799.77574,1577996.87,extreme greed,2
05-03-2024,19791.02604,841810.32,extreme greed,2
06-03-2024,6814.825139,327218.02,extreme greed,2
08-03-2024,4271.886236,183583.18,extreme greed,2
09-03-2024,9949.501624,658178.75,extreme greed,2
10-03-2024,2482.9272,219973.85,extreme greed,2
11-03-2024,3588.179495,176519.45,extreme greed,2
12-03-2024,3039.166,103040.85,extreme greed,2
13-03-2024,0,6000.8,extreme greed,2
14-03-2024,3465.865832,205933.18,extreme greed,2
15-03-2024,6236.513651,351894.41,extreme greed,2
16-03-2024,228.57984,37223.66,extreme greed,2
17-03-2024,503.293955,99506.95,extreme greed,2
18-03-2024,1456.9577,90458.08,extreme greed,2
19-03-2024,668.797973,219884.84,extreme greed,2
20-03-2024,6423.134599,215705.85,greed,1
21-03-2024,2335.508075,117895.57,extreme greed,2
24-03-2024,1297.018477,92592.21,greed,1
25-03-2024,1302.916428,57116.32,extreme greed,2
26-03-2024,3215.906593,198565.19,extreme greed,2
27-03-2024,150.41114,99864.79,extreme greed,2
28-03-2024,227.851008,35323.72,extreme greed,2
29-03-2024,883.097404,86914.37,extreme greed,2
30-03-2024,1100.57514,101103.92,extreme greed,2
31-03-2024,912.786145,39912.96,extreme greed,2
01-04-2024,2507.963406,339470.47,extreme greed,2
02-04-2024,883.760812,239664.51,extreme greed,2
03-04-2024,126.7884,16887.57,greed,1
04-04-2024,0,95987.73,greed,1
05-04-2024,10706.48431,503791.8,extreme greed,2
06-04-2024,236.335134,68223.67,extreme greed,2
07-04-2024,0,49988.14,extreme greed,2
08-04-2024,1218.4267,211940.64,extreme greed,2
09-04-2024,0,57063.84,extreme greed,2
10-04-2024,5207.443414,351735.97,extreme greed,2
11-04-2024,389.743164,76400.96,extreme greed,2
12-04-2024,-592.645839,442088.59,extreme greed,2
13-04-2024,6621.451755,486411.25,greed,1
14-04-2024,-36104.01252,659162.17,greed,1
15-04-2024,3774.08872,291111.19,greed,1
16-04-2024,2467.702221,181907.17,greed,1
17-04-2024,2441.4684,97562.99,greed,1
19-04-2024,1946.445462,337257.92,greed,1
20-04-2024,0,60733.24,greed,1
22-04-2024,0,47993.61,greed,1
23-04-2024,1119.536196,233054.9,greed,1
24-04-2024,279.185907,141275.24,greed,1
25-04-2024,0,120241.01,greed,1
26-04-2024,0,4988.29,greed,1
27-04-2024,4281.488139,154264.47,greed,1
28-04-2024,0,43985.6,greed,1
29-04-2024,526.933836,108699.01,greed,1
30-04-2024,0,125018.75,greed,1
01-05-2024,0,87025.45,neutral,
03-05-2024,5306.017045,282682.65,neutral,
04-05-2024,0,58998.75,greed,1
05-05-2024,0.916,24068.35,greed,1
06-05-2024,968.59038,206016.43,greed,1
07-05-2024,883.537693,108717.58,greed,1
08-05-2024,1.56576,65973.57,greed,1
09-05-2024,1147.595856,221966.12,greed,1
10-05-2024,2101.741695,156882,greed,1
11-05-2024,251.604742,63248.95,neutral,
12-05-2024,0,55179.56,greed,1
13-05-2024,2136.853859,193118.9,greed,1
14-05-2024,1150.523305,145853.4,greed,1
15-05-2024,948.970582,234922.57,greed,1
16-05-2024,214.5898,162620.96,greed,1
18-05-2024,3522.394661,126303.14,greed,1
19-05-2024,0,29998.09,greed,1
20-05-2024,-74.818442,38124.75,greed,1
21-05-2024,7289.397572,1100948.59,extreme greed,2
22-05-2024,0,44995.29,extreme greed,2
23-05-2024,413.347329,401850.6,extreme greed,2
24-05-2024,821.949278,50811.9,greed,1
25-05-2024,14.126039,29991.13,extreme greed,2
26-05-2024,778.6839,53976.67,extreme greed,2
27-05-2024,1129.35587,151115.72,greed,1
29-05-2024,277.791953,84268.76,greed,1
30-05-2024,20.951433,2838.09,greed,1
31-05-2024,25.35812,3636.14,greed,1
01-06-2024,91.510419,12834.62,greed,1
02-06-2024,192.906947,29464.51,greed,1
03-06-2024,562.808208,21466.86,greed,1
04-06-2024,52.211438,24243.41,greed,1
05-06-2024,56.055506,25350.77,extreme greed,2
06-06-2024,274.173187,137557.76,extreme greed,2
07-06-2024,8902.467416,1098588.76,extreme greed,2
08-06-2024,129.138839,97351.88,greed,1
09-06-2024,0,22410.22,extreme greed,2
10-06-2024,31.266805,46587.93,greed,1
11-06-2024,4320.631811,373279.92,greed,1
12-06-2024,-21886.53149,193407.96,greed,1
13-06-2024,6632.757115,132577.22,greed,1
14-06-2024,10258.59261,139868.66,greed,1
15-06-2024,3369.958346,718350.25,greed,1
16-06-2024,0,25235.08,greed,1
17-06-2024,10599.50238,368380.12,greed,1
18-06-2024,282.57636,263314.79,greed,1
19-06-2024,4887.656944,417071.12,greed,1
20-06-2024,57478.45603,207990.8,greed,1
21-06-2024,773.558204,176264.49,greed,1
22-06-2024,756.876565,169594.27,neutral,
23-06-2024,0,1792.12,greed,1
24-06-2024,0,403002.8,neutral,
25-06-2024,4869.353105,103099.08,fear,-1
26-06-2024,4197.732182,365190.66,neutral,
27-06-2024,0,130486.95,fear,-1
29-06-2024,6150.326145,280095.11,fear,-1
30-06-2024,0,30520.69,neutral,
01-07-2024,5065.839308,362670.15,neutral,
02-07-2024,2421.253116,33347.47,neutral,
03-07-2024,1118.387284,179600.66,neutral,
04-07-2024,0,430568.01,fear,-1
05-07-2024,0,272289.89,fear,-1
06-07-2024,108.872178,2490.17,fear,-1
07-07-2024,61.428942,498.75,fear,-1
08-07-2024,0,497.64,fear,-1
09-07-2024,648.984412,2736.45,fear,-1
10-07-2024,11977.73491,687900.21,fear,-1
11-07-2024,1876.812082,169887.02,fear,-1
12-07-2024,1412.314654,89582.97,fear,-1
13-07-2024,2913.617837,139189.19,fear,-1
14-07-2024,0,84001.13,fear,-1
15-07-2024,-1,198344.85,neutral,
16-07-2024,0,144000.57,greed,1
17-07-2024,1859.269477,626005.53,greed,1
18-07-2024,3803.884311,649704.85,greed,1
19-07-2024,2155.891114,150269.42,greed,1
20-07-2024,2299.169566,244362.21,greed,1
21-07-2024,-2960.716887,234307.46,greed,1
22-07-2024,1517.119876,304213.8,greed,1
23-07-2024,89890.30221,358526.54,greed,1
24-07-2024,625.561479,69207.93,greed,1
25-07-2024,916.73826,528555.31,greed,1
26-07-2024,2766.513113,548587.65,greed,1
27-07-2024,6400.623656,905199.75,greed,1
28-07-2024,587.29903,43254.68,greed,1
29-07-2024,330.804454,327199.14,greed,1
30-07-2024,0,36006.47,greed,1
31-07-2024,765.690884,84506.54,greed,1
01-08-2024,167.080017,227774.53,neutral,
02-08-2024,782.368191,396320.37,greed,1
03-08-2024,464.1897,290532.86,fear,-1
04-08-2024,-122672.0009,1207744.07,fear,-1
05-08-2024,-13013.66517,420495.4,fear,-1
06-08-2024,267.318048,61478.38,extreme fear,-2
07-08-2024,188.789255,2492.77,fear,-1
08-08-2024,-40.712217,16299.35,extreme fear,-2
09-08-2024,18082.07128,503204.86,neutral,
10-08-2024,0,11339.29,fear,-1
11-08-2024,847.77662,44230.21,fear,-1
12-08-2024,858.6705,54167.32,fear,-1
13-08-2024,212.08102,20797.87,fear,-1
14-08-2024,2168.901513,66710.03,fear,-1
15-08-2024,0,1522.37,fear,-1
16-08-2024,825.230544,166382.84,fear,-1
17-08-2024,-288.283113,30248.96,fear,-1
18-08-2024,307.201888,62804.48,fear,-1
19-08-2024,339.699583,100315.03,fear,-1
20-08-2024,192.602844,49914.8,fear,-1
21-08-2024,656.200925,104990.41,fear,-1
23-08-2024,1005.30527,63509.56,fear,-1
24-08-2024,0,34999.67,greed,1
25-08-2024,0,21950.28,neutral,
26-08-2024,231.236918,92611.27,greed,1
27-08-2024,0,70250.16,neutral,
28-08-2024,1333.359645,71160.07,fear,-1
29-08-2024,0,9995.85,fear,-1
30-08-2024,256.464,37233.24,fear,-1
31-08-2024,10.882801,107507.43,fear,-1
01-09-2024,137.433093,12359.68,fear,-1
02-09-2024,0,30000.42,fear,-1
04-09-2024,1065.785132,131480.97,fear,-1
05-09-2024,0,0.84,fear,-1
06-09-2024,-1104.856765,39047.1,extreme fear,-2
08-09-2024,0,0.11,fear,-1
09-09-2024,0,4014.43,fear,-1
10-09-2024,-219.729659,2547.28,fear,-1
11-09-2024,0,0.54,fear,-1
14-09-2024,0,1014.8,neutral,
18-09-2024,-878.684794,13633.5,neutral,
19-09-2024,0,1521.87,neutral,
20-09-2024,9585.03428,332873.38,neutral,
21-09-2024,36165.56933,165648.12,neutral,
22-09-2024,0,19999.74,neutral,
23-09-2024,334.760796,40334.29,neutral,
24-09-2024,0,7118.63,neutral,
25-09-2024,0,52754.13,greed,1
26-09-2024,439.812513,113711.93,neutral,
27-09-2024,0,126097.04,greed,1
28-09-2024,0,29199.21,greed,1
30-09-2024,2710.626288,214669.85,greed,1
01-10-2024,0,139954.32,neutral,
02-10-2024,0,99954.34,fear,-1
03-10-2024,100.375782,132935.69,fear,-1
04-10-2024,0,0.34,fear,-1
05-10-2024,5767.161892,605605.74,neutral,
06-10-2024,130.487079,300130.56,neutral,
07-10-2024,0,219984.65,neutral,
08-10-2024,5396.546638,434584.13,neutral,
09-10-2024,396.06272,220399.93,neutral,
10-10-2024,0,300024.34,fear,-1
11-10-2024,8885.327477,488904.19,fear,-1
12-10-2024,541.55471,159713.4,neutral,
13-10-2024,0,60002.42,neutral,
14-10-2024,1913.61958,61916.02,neutral,
15-10-2024,1170.226076,81173.36,greed,1
16-10-2024,219.480876,80229.17,greed,1
17-10-2024,36.11496,140531.75,greed,1
18-10-2024,333.219141,120331.43,greed,1
19-10-2024,0,99996.86,greed,1
20-10-2024,389.155797,176447.86,greed,1
21-10-2024,2464.915564,324117.99,greed,1
22-10-2024,0,60000.36,greed,1
23-10-2024,-46.489941,210006.07,greed,1
25-10-2024,13235.86207,427883.18,greed,1
27-10-2024,666.662308,90664.41,greed,1
28-10-2024,167.280162,121495.25,greed,1
29-10-2024,801.170876,613267.81,greed,1
30-10-2024,9.150023,11830.85,extreme greed,2
31-10-2024,1214.043811,896173.36,extreme greed,2
01-11-2024,1040.475736,260981.03,extreme greed,2
02-11-2024,0,40000,greed,1
03-11-2024,0,129055.66,greed,1
04-11-2024,2799.410474,451811.97,greed,1
05-11-2024,678.475928,200627.23,greed,1
06-11-2024,2817.83723,123906.9,greed,1
07-11-2024,4493.353136,111335.3,extreme greed,2
08-11-2024,-64.413541,270700.44,extreme greed,2
09-11-2024,102.90894,193384.41,extreme greed,2
10-11-2024,991.114334,413636.7,extreme greed,2
11-11-2024,6749.630996,1570572.42,extreme greed,2
12-11-2024,3494.399394,1226354.52,extreme greed,2
13-11-2024,7846.402274,515336.37,extreme greed,2
14-11-2024,4563.509225,1008361.81,extreme greed,2
15-11-2024,4140.740438,1427858.42,extreme greed,2
16-11-2024,2769.521909,303296.07,extreme greed,2
17-11-2024,882.975285,1215987.57,extreme greed,2
18-11-2024,4470.815187,2084339.58,extreme greed,2
19-11-2024,2958.268991,628031.15,extreme greed,2
20-11-2024,4210.092897,1999514.12,extreme greed,2
21-11-2024,1692.430891,598300.62,extreme greed,2
22-11-2024,-18105.34562,1646713.62,extreme greed,2
23-11-2024,2901.531638,516245.68,extreme greed,2
24-11-2024,945.550386,664952.28,extreme greed,2
25-11-2024,5523.740734,937410.87,extreme greed,2
26-11-2024,1094.809359,1146902.44,extreme greed,2
27-11-2024,-2654.495633,1444242.53,extreme greed,2
28-11-2024,-127075.3996,1894225.15,extreme greed,2
29-11-2024,176844.9942,794262.91,extreme greed,2
30-11-2024,37316.69352,1732193.7,extreme greed,2
01-12-2024,40886.36449,814711.82,extreme greed,2
02-12-2024,18489.60431,585243.56,extreme greed,2
03-12-2024,23576.53929,1084666.53,extreme greed,2
04-12-2024,292891.815,769287.65,extreme greed,2
05-12-2024,71574.11849,1256750.79,extreme greed,2
06-12-2024,-92624.6439,3471019.22,greed,1
07-12-2024,85906.27907,451733.42,extreme greed,2
08-12-2024,15965.93344,932939.72,extreme greed,2
09-12-2024,6310.967676,983949.68,extreme greed,2
10-12-2024,39325.77023,3150424.08,extreme greed,2
11-12-2024,319051.5542,2194098.33,greed,1
12-12-2024,599151.795,4557189.87,extreme greed,2
13-12-2024,31935.90175,2880824.64,extreme greed,2
14-12-2024,167801.3992,2369561.78,extreme greed,2
15-12-2024,97525.31528,2583269.81,extreme greed,2
16-12-2024,166774.3441,2740808.97,extreme greed,2
17-12-2024,219591.3052,5233597.63,extreme greed,2
18-12-2024,13682.99467,3798887.07,extreme greed,2
19-12-2024,62744.00449,8241709.39,extreme greed,2
20-12-2024,254969.66,7681274.71,greed,1
21-12-2024,150022.1632,4382875.12,greed,1
22-12-2024,352197.164,3087320.22,greed,1
23-12-2024,-29430.62658,6771878.26,greed,1
24-12-2024,14813.78012,1767036.11,greed,1
25-12-2024,756.657047,347889.35,greed,1
26-12-2024,60228.63972,2205242.65,extreme greed,2
27-12-2024,2672.811035,347913,greed,1
28-12-2024,940.673623,281555.01,greed,1
29-12-2024,2884.067927,344628.54,greed,1
30-12-2024,9009.738137,1073865.73,greed,1
31-12-2024,5445.01281,877164.62,greed,1
01-01-2025,-9528.065345,282582.1,greed,1
02-01-2025,8716.519087,774674.84,greed,1
03-01-2025,6028.486793,771208.99,greed,1
04-01-2025,2553.537968,1826029.62,greed,1
05-01-2025,3187.719363,451943.57,greed,1
06-01-2025,6064.185393,556526.99,extreme greed,2
07-01-2025,16098.22753,1313178.1,extreme greed,2
08-01-2025,130117.0906,3177275.18,greed,1
09-01-2025,46975.9289,1020733.25,greed,1
10-01-2025,-10116.87555,6547449.68,neutral,
11-01-2025,2269.080536,1658098.71,greed,1
12-01-2025,5742.241803,2258459.17,greed,1
13-01-2025,9655.429352,2936648.01,greed,1
14-01-2025,16069.51236,876581.97,greed,1
15-01-2025,14819.5883,1801599.89,greed,1
16-01-2025,20807.70933,3049692.96,extreme greed,2
17-01-2025,7006.415608,1110230.46,extreme greed,2
18-01-2025,443.233082,2711629.88,extreme greed,2
19-01-2025,87923.7993,9715215.3,extreme greed,2
20-01-2025,87277.23917,8287327.01,extreme greed,2
21-01-2025,11077.83942,1523729.82,extreme greed,2
22-01-2025,20524.40806,1778406.43,extreme greed,2
23-01-2025,101256.2422,3697028.66,extreme greed,2
24-01-2025,10602.77974,1611433.45,extreme greed,2
25-01-2025,-10348.01626,1239377.7,extreme greed,2
26-01-2025,40823.46667,1201173.66,greed,1
27-01-2025,41331.76539,1508028.31,greed,1
28-01-2025,17979.61397,579412.17,greed,1
29-01-2025,23421.01147,1897513.41,greed,1
30-01-2025,23097.47139,3014397.17,greed,1
31-01-2025,35868.29677,2783411.48,extreme greed,2
01-02-2025,32300.20502,1363746.44,greed,1
02-02-2025,162854.7596,5661092.29,greed,1
03-02-2025,348871.3263,22592901.37,fear,-1
04-02-2025,416876.8881,15678409.27,greed,1
05-02-2025,56706.23556,8743231.51,neutral,
06-02-2025,33803.79973,2818508.87,neutral,
07-02-2025,22450.00209,3460263.54,fear,-1
08-02-2025,586.703253,839734.97,fear,-1
09-02-2025,150551.8295,2920919.7,neutral,
10-02-2025,63908.49465,3624958.44,fear,-1
11-02-2025,-6093.784817,2797544.17,neutral,
12-02-2025,19848.63503,4143974.54,neutral,
13-02-2025,27829.53424,3199852.21,neutral,
14-02-2025,213860.6753,4007103.42,neutral,
15-02-2025,45042.92701,1712852.95,neutral,
16-02-2025,2369.478425,806177.64,neutral,
17-02-2025,1818.573295,2031044.64,neutral,
18-02-2025,91204.6724,3371128.68,neutral,
19-02-2025,14985.7947,3263930.24,fear,-1
20-02-2025,46008.7941,4628609.29,neutral,
21-02-2025,119693.494,3972159.88,greed,1
22-02-2025,25278.70418,3175570.2,neutral,
23-02-2025,10656.93425,1141310.74,neutral,
24-02-2025,38470.17624,11223619.59,neutral,
25-02-2025,204762.177,19414984.36,fear,-1
26-02-2025,63229.06313,4946958.13,extreme fear,-2
27-02-2025,-36525.16752,1999898.43,extreme fear,-2
28-02-2025,225628.1087,4123660.77,extreme fear,-2
01-03-2025,10596.10897,263824.13,extreme fear,-2
02-03-2025,66914.32071,6460848.74,fear,-1
03-03-2025,616413.0322,8244590.38,fear,-1
04-03-2025,182075.5666,11124247.15,extreme fear,-2
05-03-2025,269328.3659,9193654.22,extreme fear,-2
06-03-2025,16101.12556,6765324.96,fear,-1
07-03-2025,150236.0616,19854275.48,fear,-1
08-03-2025,24700.77336,892083.51,fear,-1
09-03-2025,19773.4574,10419697.99,fear,-1
10-03-2025,-10010.02727,16811790.68,extreme fear,-2
